738,7,0,738,738,737,6,101,737,738,CTRL + Shift + Left
737,6,101,737,738,738,7,0,738,738,CTRL + Right
1767,17,74,1767,1767,1766,17,73,1766,1766,CTRL + Left
1766,17,73,1766,1766,1770,17,77,1766,1770,CTRL + Shift + Right
1770,17,77,1766,1770,1772,17,79,1770,1772,CTRL + Shift + Right
1772,17,79,1770,1772,1770,17,77,1770,1772,CTRL + Shift + Left
1770,17,77,1770,1772,1693,17,0,1693,1693,Home
1693,17,0,1693,1693,1692,16,90,1692,1693,CTRL + Shift + Left
1692,16,90,1692,1693,1693,17,0,1692,1693,CTRL + Shift + Right
1693,17,0,1692,1693,1692,16,90,1692,1693,CTRL + Shift + Left
1692,16,90,1692,1693,1602,16,0,1602,1602,Home
1602,16,0,1602,1602,1692,16,90,1602,1692,Shift + End
1536,15,23,1536,1536,1535,15,22,1535,1535,CTRL + Left
1535,15,22,1535,1535,1537,15,24,1537,1537,CTRL + Right
1537,15,24,1537,1537,1601,15,88,1601,1601,Fin (End)
1601,15,88,1601,1601,1600,15,87,1600,1601,CTRL + Shift + Left
1600,15,87,1600,1601,1513,15,0,1513,1600,Shift + Home
1513,15,0,1513,1600,2011,19,101,0,2011,CTRL+ A (SelectAll)
2011,19,101,0,2011,2011,19,101,0,2011,CTRL+ A (SelectAll)
2011,19,101,0,2011,2010,19,100,2010,2010,CTRL + Left
2010,19,100,2010,2010,2007,19,97,2007,2010,CTRL + Shift + Left
2007,19,97,2007,2010,1910,19,0,1910,2007,Shift + Home
1970,19,60,1970,1970,2011,19,101,0,2011,CTRL+ A (SelectAll)
2011,19,101,0,2011,2010,19,100,2010,2010,CTRL + Left
2010,19,100,2010,2010,1910,19,0,1910,1910,Home
1910,19,0,1910,1910,1914,19,4,1910,1914,CTRL + Shift + Right
1914,19,4,1910,1914,1910,19,0,1910,1910,CTRL + Left
1910,19,0,1910,1910,1914,19,4,1914,1914,CTRL + Right
1914,19,4,1914,1914,1910,19,0,1910,1910,CTRL + Left
1910,19,0,1910,1910,1909,18,113,1909,1910,CTRL + Shift + Left
1909,18,113,1909,1910,2011,19,101,0,2011,CTRL+ A (SelectAll)
2011,19,101,0,2011,2011,19,101,2011,2011,CTRL + Shift + Right
526,4,113,526,526,528,4,115,528,528,CTRL + Right
528,4,115,528,528,526,4,113,526,528,CTRL + Shift + Left
526,4,113,526,528,533,4,120,533,533,Fin (End)
533,4,120,533,533,413,4,0,413,533,Shift + Home
413,4,0,413,533,416,4,3,413,416,CTRL + Shift + Right
416,4,3,413,416,413,4,0,413,416,Shift + Home
413,4,0,413,416,413,4,0,413,413,Home
413,4,0,413,413,412,3,113,412,412,CTRL + Left
412,3,113,412,412,411,3,112,411,411,CTRL + Left
411,3,112,411,411,406,3,107,406,406,CTRL + Left
1761,17,68,1761,1761,2011,19,101,0,2011,CTRL+ A (SelectAll)
2011,19,101,0,2011,1910,19,0,1910,2011,Shift + Home
1910,19,0,1910,2011,1910,19,0,1910,1910,Home
1910,19,0,1910,1910,2011,19,101,1910,2011,Shift + End
2011,19,101,1910,2011,2011,19,101,2011,2011,Fin (End)
2011,19,101,2011,2011,2011,19,101,0,2011,CTRL+ A (SelectAll)
2011,19,101,0,2011,2011,19,101,2011,2011,CTRL + Shift + Right
2011,19,101,2011,2011,2011,19,101,2011,2011,CTRL + Shift + Right
